TextBlob_Analysis Biden Inflation,TextBlob_Analysis Trump Inflation,TextBlob_Analysis Biden Immigration,TextBlob_Analysis Trump Immigration,variable,value
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Neutral,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Negative,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,NA,NA,NA,Subjectivity:  Biden Immigration,NA
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.426900005
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.487614619
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.420833333
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.540740741
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.486986022
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.433706972
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.472127186
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.449315838
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.376641558
Positive,Negative,Positive,Positive,Subjectivity:  Trump Immigration,0.48932838
Negative,Positive,Positive,Neutral,Subjectivity:  Trump Immigration,0
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.394444444
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.335714286
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.356926407
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.51
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.407450279
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.134943182
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.338636364
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.425239609
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.492677448
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.414919176
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.572197421
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.342797619
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.454436366
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.238888889
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.958333333
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.499285714
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.466666667
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.486759431
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.430226757
Positive,Positive,Positive,Neutral,Subjectivity:  Trump Immigration,0.1
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.431529162
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.503528848
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.236057692
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.709090909
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.4
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.4076337
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.481666667
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.325034688
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.585714286
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.519587806
Negative,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.457435916
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.257777778
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.456180036
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.483673469
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.487096327
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.574544513
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.422587302
Negative,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.486742424
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.467224231
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.553125
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.511259196
Positive,Negative,Positive,Positive,Subjectivity:  Trump Immigration,0.513433878
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.435080396
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.43708134
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.508333333
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.462488291
Negative,Positive,Negative,Negative,Subjectivity:  Trump Immigration,0.387883833
Positive,Neutral,Positive,Negative,Subjectivity:  Trump Immigration,0.507142857
Positive,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.497605781
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.482952259
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.511271877
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.493708514
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.512666442
Negative,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.422932449
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.582353757
Negative,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.470375533
Positive,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.428048341
Positive,Positive,Negative,Negative,Subjectivity:  Trump Immigration,0.496000409
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.492023118
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.557932195
Positive,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.466723356
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.472825397
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.543398003
Positive,Positive,Neutral,Positive,Subjectivity:  Trump Immigration,0.465183845
Positive,Positive,Neutral,Positive,Subjectivity:  Trump Immigration,0.52027417
Positive,Negative,Positive,Positive,Subjectivity:  Trump Immigration,0.521568627
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.424410942
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.475611293
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.480482541
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.351738473
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.506761297
Positive,Neutral,Positive,Positive,Subjectivity:  Trump Immigration,0.465343915
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.564377289
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.68529341
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.49406845
Negative,Negative,Positive,Positive,Subjectivity:  Trump Immigration,0.508653993
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.56322244
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.388542569
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.376655329
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.455055103
Positive,Positive,Neutral,Positive,Subjectivity:  Trump Immigration,0.470450211
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.492129804
Positive,Positive,Neutral,Positive,Subjectivity:  Trump Immigration,0.437450992
Negative,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.347916667
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.4625
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.419407407
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.594444444
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.405426716
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.58953824
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.444468494
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.518516988
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.44659131
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.302083333
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.577191142
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.5
Negative,Positive,Negative,Negative,Subjectivity:  Trump Immigration,0.397068265
Negative,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.453274814
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.524180244
Positive,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.524739312
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.433363902
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.444590758
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.446938776
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.438002671
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.463602543
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.554290675
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.46014362599999997
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.367857143
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.391496599
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.319047619
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.501298701
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.473751515
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.413737717
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.401458052
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.440231693
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.581930593
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.305989583
Positive,Positive,Neutral,Neutral,Subjectivity:  Trump Immigration,0
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.361858077
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.423412076
Negative,Positive,Negative,Neutral,Subjectivity:  Trump Immigration,0
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.480778333
Positive,Negative,Neutral,Positive,Subjectivity:  Trump Immigration,0.366666667
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.422588967
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.417053049
Positive,Negative,Negative,Positive,Subjectivity:  Trump Immigration,0.405299539
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.495850327
Negative,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.396791047
Positive,Negative,Positive,Positive,Subjectivity:  Trump Immigration,0.518250345
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.29469697
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.343650794
Positive,Positive,Positive,Negative,Subjectivity:  Trump Immigration,0.633333333
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.48621645
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.622222222
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.427710718
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.50896446
Positive,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.449641588
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.419848432
Positive,Positive,Positive,Positive,Subjectivity:  Trump Immigration,0.238265306
Negative,Positive,Negative,Positive,Subjectivity:  Trump Immigration,0.359880656
